Modelo,Código,Lançamento,Preço,Clock GPU (GHz),VRAM (GB),Clock VRAM (GHz),Tipo VRAM,Barramento (Bits),TDP (W)
NV1,NV1,22/05/1995,,,2,0.06,,64,
Riva 128,NV3,25/08/1997,,,4,0.1,,128,
Riva 128ZX,NV3,23/02/1998,,,8,0.1,,128,
Riva TNT,NV4,15/06/1998,,,8,0.11,,128,
Vanta,NV6,22/03/1999,,,8,0.125,,64,
Vanta LT,NV6,,,,8,0.1,,64,
Riva TNT2 M64,NV6,,,,8,0.15,,64,
Riva TNT2,NV5,15/03/1999,,,16,0.15,,128,
Riva TNT2 Pro,NV5,12/10/1999,,,16,0.166,,128,
Riva TNT2 Ultra,NV5,15/03/1999,,,16,0.183,,128,
GeForce 256 SDR,NV10,11/10/1999,,,32,0.166,,128,13
GeForce 256 DDR,NV10,13/12/1999,,,32,0.15,,128,12
GeForce2 MX IGP + nForce 220/420,NV1A (IGP)/ NV11 (MX),04/06/2001,,,32,0.133,,64,3
GeForce2 MX200,NV1A (IGP)/ NV11 (MX),03/03/2001,,,32,0.166,,64,1
GeForce2 MX,NV1A (IGP)/ NV11 (MX),28/06/2000,,,32,0.166,,128,4
GeForce2 MX400,NV1A (IGP)/ NV11 (MX),03/03/2001,,,32,0.166,,64,5
GeForce2 GTS,NV15,26/04/2000,,,32,0.166,,128,6
GeForce2 Pro,NV15,05/12/2000,,,32,0.2,,128,
GeForce2 Ti,NV15,01/10/2001,,,32,0.2,,128,
GeForce2 Ultra,NV15,14/08/2000,,,64,0.23,,128,
GeForce3 Ti200,NV20,01/10/2001,,,64,0.2,,128,
GeForce3,NV20,27/02/2001,,,64,0.23,,128,
GeForce3 Ti500,NV20,01/10/2001,,,64,0.25,,128,29
GeForce4 MX IGP + nForce2,NV1F,01/10/2002,,,128,0.133,,64,
GeForce4 MX420,NV17,06/02/2002,,,64,0.166,,128,14
GeForce4 MX440 SE,NV17,,,,64,0.133,,64,13
GeForce MX4000,NV18B,14/12/2003,,,64,0.166,,64,14
GeForce PCX4300,NV18B,19/02/2004,,,128,0.166,,64,16
GeForce4 MX440,NV17,06/02/2002,,,64,0.2,,128,18
GeForce4 MX440 8x,NV18,25/09/2002,,,64,0.166,,64,19
GeForce4 MX460,NV17,06/02/2002,,,64,0.275,,128,22
GeForce4 Ti4200,NV25,16/04/2002,,,64,0.222,,128,33
GeForce4 Ti4200 8x,NV28,25/09/2002,,,64,0.25,,128,34
GeForce4 Ti4400,NV25,06/02/2002,,,128,0.275,,128,37
GeForce4 Ti4400 8x (Ti4800SE),NV28,20/01/2003,,,128,0.275,,128,38
GeForce4 Ti4600,NV25,06/02/2002,,,128,0.325,,128,
